,PhraseNo,Phrase,IsHateSpeech
1537,1538,"['පකිස්ලන්තයෙන්', 'වහාබි', 'පක්කු', 'ගෙනත්', 'ලංකාවේ', 'පදිංචි', 'කිරීමට', 'මේ', 'තරම්', 'දගලන', 'කොන', 'නැති', 'ඇමැති', 'පකයා', 'SriLanka']",YES
1538,1539,"['Rameshlklive', 'වරෙව්කො', 'ලංකාවට', 'ඔවුන්', 'ඉන්දියන්', 'පක්කු']",YES
1539,1540,"['PsychoYassa', 'පක්කු', 'නෙවෙයි', 'බන්', 'ඉන්දියාව', 'එක්ක', 'ගහන්නේ']",YES
1540,1541,"['පොලිස්', 'හු', 'හෙන', 'හතම', 'ගහන්න', 'ඕනෙ', 'සක්කිලි', 'හැත්ත', 'උන්', 'හිතන්', 'ඉන්නෙ', 'උන්', 'තමයි', 'පක්කු', 'කියලා', 'http', 'f']",YES
1541,1542,"['මගේ', 'Profile', '1කේ', 'ඉන්නව', 'සුද්දොන්ට', 'කියල', 'ඇරගත්තු', 'ටිකක්', 'පල', 'ඇමරිකාවටම', 'පක්කු', 'නෙදකිං']",YES
1542,1543,"['PleeseWait', 'ඒක', 'හොද', 'වැඩක්', 'නැතිනම්', 'උපාධිය', 'අරන්', 'මාරු', 'වෙන', 'පක්කු', 'ඉන්නො']",YES
1546,1547,"['ඇත්ත', 'ජීවිතේ', 'කොන්ද', 'පන', 'නැති', 'වුන්', 'ට්විටරෙට', 'ආවම', 'පක්කු', 'වෙනවා', 'නෙ', 'D', 'D', 'ලොල්', 'සහගතයි', 'D']",YES
1547,1548,"['ISIS', 'අන්තවාදී', 'ඉස්ලාම්', 'පක්කු']",YES
1559,1560,"['ආනොල්ඩ්', 'කියන', 'කතෝලික', 'හිවලා', 'ඌ', 'කවුද', 'අපේ', 'ලෝක', 'පූජිත', 'සනත්', 'මැතිතුමාට', 'ගොඩයා', 'කියන්ඩ', 'දීපං', 'මගේ', 'iPad', 'එක']",YES
1571,1572,"['උබේ', 'සල්ලි', 'වලින්', 'හොද', 'ඌරු', 'කොටුවක්', 'දාගනින්', 'SOP', 'දැන්වත්', 'කටයි', 'පුකයි', 'වහන්', 'ඉන්නවද', 'තම්බියෝ', 'stop', 'runinig', 'my', 'fine', 'sunday', 'evening', 'පකයා']",YES
1574,1575,"['Fill', 't', 'දෙන්නේ', 'සැරට', 'වදන්', 'මෙන්න', 'බලපන්', 'තම්බියෝ', 'පල්ලිය', 'ඉස්සරහ', 'සිගරට්', 'එක', 'ගහන්නේ', 'හුත්තෝ']",YES
1585,1586,"['Al', 'salaman', 'restaurant', 'තිරප්පනේටත්', 'තම්බියෝ', 'කේලියා', 'තවම', 'තවම', 'තම්බින්ට', 'පුක', 'දෙන', 'එවුනුත්', 'ඉන්නවනේ', 'දුකයි', 'සිංහල', 'අපිට']",YES
1590,1591,"['තම්බි', 'හුකන්නෝ', 'සිංහ', 'කොල්ලන්ට', 'මේම', 'karanna', 'tharam', 'haiyak', 'awe', 'unp', 'balu', 'haththage', 'depitakattu', 'anduwa', 'nisa']",YES
1594,1595,"['මේ', 'යෞවන', 'සම්මාන', 'උළෙල', '2018', 'අංකුර', 'කලාකරුවන්ට', 'තමයි', 'සම්මාන', 'දෙන්නේ', 'ඒ', 'හින්දා', 'මෙවුන්', 'වැඩිය', 'ජනප්', 'රිය', 'නැති', 'වෙන්න', 'පුලුවන්', 'මොවුන්ගේ', 'දේශපාලන', 'මතවාද', 'පිළිබඳ', 'අදහස්', 'දැක්වීමට', 'නොහැකි', 'යි', 'කොහොම', 'උනත්', 'අංකුර', 'කලාකරුවකු', 'සම්මාන', 'ලබා', 'ගත', 'යුත්තේ', 'ප්', 'රවීණ', 'කලාකරුවෙක්', 'අතින්', 'කියන', 'එක', 'තමයි', 'මගේ', 'මතය', 'නැතුව', 'රට', 'කන', 'බූරු', 'දේශපාලඥයන්', 'අතින්', 'නෙවෙයි']",YES
1602,1603,"['දැන්', 'කාලේ', 'පරම්පරාව', 'ජනප්', 'රිය', 'වෙන්න', 'කරන', 'දෙවල්', 'හොඳ', 'දෙයක්', 'කරලා', 'ජනප්', 'රිය', 'උන', 'අය', 'අඩුයි', 'දැන්', 'කාලේ', 'උන්', 'සක්කිලි', 'කුජිත', 'කම්', 'කරලා', 'ජනප්', 'රිය', 'උන', 'අය', 'තමයි', 'වැඩි', 'පුර', 'ඉන්නේ', 'එහෙම', 'අයව', 'Share', 'කරලා', 'ලොකු', 'කරන', 'අයත්', 'ගොඩයි']",YES
1604,1605,"['හතරවටේටම', 'පුකදීල', 'යන්තම්', 'ඔතෙන්ට', 'ඔළුව', 'දාගත්තම', 'මුන්', 'හිතාගෙන', 'ඉන්නෙ', 'මුන්', 'ලෝක', 'කලා', 'සූරයො', 'කියල', 'බලපල්ල', 'රවීන්ද්', 'ර', 'රන්දෙනිය', 'මාලනී', 'පොන්සේක', 'ජැක්ෂන්', 'ඇන්තනි', 'පන්ඩිත්', 'අමරදේවයන්', 'වැනි', 'කලා', 'කරැවන්', 'මොනනායකයන්', 'අතින්', 'උවත්', 'තම', 'සම්මානය', 'සිනාමුහුනින්', 'අරගත්', 'ආකාර', 'මේමොන', 'හාල්පාරුවොද', 'ඔළුව', 'තියන', 'සිංහල', 'කියල', 'ජාතියක්', 'ඉන්නවනම්', 'බලපල්ල', 'මෙතන', 'අපේඋන්ව', 'කොටවන්න', 'හම්බයො', 'කීදෙනෙක්', 'පොන්න', 'රනිල්ට', 'පුනදෙනවද', 'කියල', 'නිකමට', 'හිතපල්ල', 'ඇයි', 'එහෙම', 'වෙන්නෙ', 'කියල', 'උන්ට', 'ඕනෙ', 'මොකාගෙ', 'පිට', 'තියලහරි', 'අපේම', 'උන්ව', 'කොටවල', 'උන්ගෙ', 'බලාපොරොත්තු', 'ඉටුකරගන්නයි', 'ඒකට', 'ඕ', 'නෙ', 'රනිල්ගෙම', 'පාලනයක්', 'තමයි', 'අපේ', 'මීහරකුත්', 'මහින්දට', 'කෙලවන්න', 'කියල', 'උන්ටම', 'පුකදීල', 'අන්තිමට', 'දන්නෙම', 'නැතිව', 'මුළු', 'ජාතියටම', 'පුකේ', 'ඇරගන්නව', 'උන්ට', 'කියල', 'බලපල්ල', 'T', 'N', 'A', 'එක', 'ඇයි', 'මේතරම්', 'U', 'N', 'P', 'යම', 'බලයට', 'ගේන්න', 'මෙච්චර', 'දඟලන්නෙ', 'ඇයි', 'කියල']",YES
1610,1611,"['නියමයි', 'අද', 'රට', 'කන', 'මෙි', 'ගොන්නුන්ගෙන්', 'සමිමාන', 'නොගෙන', 'එය', 'ජේෂ්ඨ', 'කලාකරුවකුගේ', 'අතින්', 'ඉල්ලාලබාගැනිමට', 'එඩිතර', 'උන', 'උබලාට', 'අපගේ', 'පුණාමය', 'කවුද', 'මෙි', 'කලාකරුවන්', 'දන්නවනමි', 'Telephone', 'noඑවන්න']",YES
1612,1613,"['ඔවුන්', 'සිතන්නේ', 'වැඩවසම්', 'යුගය', 'තාමත්', 'තියෙනවා', 'කියලයි', 'අපේ', 'නිවට', 'ජාතියත්', 'කටයුතු', 'කරන්නේත්', 'ඒවගේමයි', 'අපේ', 'පැරන්නන්ගේ', 'අභිතබව', 'තාක්ෂණය', 'දැණුමින්', 'පෝෂණය', 'ලත්', 'ඉතිහාසය', 'මත', 'යැපෙනවා', 'මිස', 'ලාංකිකයන්', 'ලෙස', 'අ', 'පේ', 'පරම්පරාවෙන්', 'අප', 'මොනවද', 'කළේ', 'රටටත්', 'නැහ', 'ජාතියටත්', 'නැහ', 'Ltte', 'යුද්ධය', 'දින්නා', 'රට', 'වික්කා', 'පාට', 'කන්නාඩි', 'වලින්', 'බලනතාක්', 'සැබැපාට', 'අපට', 'නොපේනේවි', 'පාට', 'කන්නාඩි', 'ගලවා', 'බලනදාට', 'අපට', 'සැබැපාට', 'පෙනෙවි', 'ඊට', 'සුදානමක්', 'ඇතිවු', 'බවක්', 'නම්', 'මෙය']",YES
1615,1616,"['oya', 'haadaya', 'giya', 'tikema', 'koti', 'nidahas', 'karanna', 'kiyala', 'kaa', 'gahapu', 'jeppek', 'uge', 'prof', 'eka', 'balannako', 'etakota', 'terei', 'fedaral', 'deeganna', 'bari', 'una', 'dukatai', 'ranila', 'elawapu', 'dukatai', 'porak', 'wenna', 'hadapu', 'ekek', 'mu', 'mona', 'nalakaruwoda', 'ganja', 'gagaha', 'kotuwe', 'avidina', 'un', 'otana', 'moka', 'hitiyath', 'manussakamata', 'atha', 'dunnam', 'atha', 'dena', 'eka', 'manussakama', 'mamanam', 'dakinne', 'oka', 'gobba', 'kama', 'uge']",YES
1616,1617,"['Yako', 'oka', 'ponna', 'kama', 'Dan', 'un', 'gaththena', 'kiyala', 'wenasak', 'nane', 'Anika', 'unp', 'eke', 'salliwalatai', 'un', 'yata', 'une', 'ubala', 'hithanawada', 'un', 'bokkenma', 'karapu', 'deyak', 'kiyala', 'Paka', 'thamai', 'Anika', 'mu', 'kala', 'karuwoda', 'ban']",YES
1617,1618,"['අලුත්', 'පරපුරේ', 'අය', 'ඒ', 'විදිහට', 'සම්මානය', 'ගන්නත්', 'ඩොලර්', 'කියක්', 'ngo', 'වලින්', 'ගත්තද', 'දන්නේ', 'නැහැ', 'ඌ', 'වගේ', 'මානසික', 'රෝග', 'තියෙන', 'ඔලුව', 'ඉදිමුන', 'කලාකාරයෝ', 'තවත්', 'ඉන්නවා', 'මුලු', 'උත්සවය', 'අවර්නවත්', 'කල', 'දේශපාලනයයි', 'කලාවයි', 'පැටලි', 'ඇති', 'මේ', 'පිස්සන්', 'දෙන්නට', 'යහපතක්ම', 'වේවා']",YES
1620,1621,"['Boru', 'sho', 'munge', 'nugath', 'kama', 'pennuwe', 'nihatamanikamak', 'nathi', 'kalakanni', 'kalakuwantat', 'agawrawayak', 'me', 'wage', 'un']",YES
1623,1624,"['Me', 'vage', 'adu', 'manaseeka', 'leddu', 'aii', 'sammana', 'denne', 'hari', 'nam', 'thahanam', 'karanna', 'one', 'ehema', 'karapu', 'eka', 'varadii', 'oka', 'karala', 'ekala', 'balaporoththu', 'wenne', 'mokakkda', 'loku', 'vadak', 'kara', 'vage', 'wi', 'fi', 'valata', 'chande', 'dunne', 'me', 'vage', 'pakku', 'thama', 'Thu', 'nodakin']",YES
1626,1627,"['Yakooo', 'me', 'apee', 'un', 'niyamai', 'aiyee', 'malliye', 'karapu', 'wade', 'supiri', 'kariyanta', 'ridennama', 'deela', 'thiyenawa']",YES
1627,1628,"['Mewa', 'gobba', 'weda', 'ban', 'desapalanayata', 'kade', 'yama', 'saha', 'athata', 'atha', 'dimai', 'kiyanne', 'dekak', 'anika', 'desapalakayata', 'wirodaya', 'panne', 'thawa', 'ekekta', 'kade', 'yanagaman', 'newe']",YES
1628,1629,"['Eka', 'patta', 'gammap', 'pilayage', 'athin', 'sammana', 'ganna', 'u', 'mokekda', 'sriyantha', 'mendis', 'wage', 'kalawe', 'wadakarayo', 'innakota', 'gammap', 'pilaya', 'jathi', 'wade', 'aussa', 'aussa', 'un', 'bale', 'radenna', 'hadana', 'ekane', 'un', 'karanne']",YES
1629,1630,"['Deshapalanayo', 'kiyanne', 'HORUN', 'mungawa', 'award', 'ganna', 'kelling', 'minihekta', 'lejjai']",YES
1630,1631,"['mun', 'sinhalainta', 'waira', 'karana', 'eun', 'kan', 'ahenna', 'nathi', 'un', 'kiyawai', 'ithin', 'dumindala', 'nam', 'kolati', 'na', 'kiyala', 'apith', 'dannawa', 'methana', 'thiyenna', 'sinhala', 'jathiyata', 'waira', 'karana', 'unge', 'seen', 'ekak']",YES
1634,1635,"['Kalakaruwo', 'kiyanne', 'thamange', 'gedarata', 'aradana', 'karala', 'minissunta', 'gahana', 'jathiye', 'ponna', 'jathiyakda']",YES
1635,1636,"['Ayee', 'jiwitheta', 'oya', 'wage', 'unta', 'sammana', 'denna', 'hoda', 'nahe', 'Ounta', 'aye', 'sammanayak', 'hambenna', 'wath', 'epa', 'kiyala', 'hada', 'wathinma', 'parthana', 'karanawa', 'kata', 'unath', 'garu', 'kranna', 'danne', 'nethi', 'ponna', 'kuhakayoooo']",YES
1637,1638,"['Oka', 'unp', 'ekek', 'dunna', 'dawasatath', 'okama', 'kaloth', 'witharak', 'i', 'salute', 'him', 'Mokada', 'mu', 'unp', 'ho', 'jvp', 'karek', 'wennath', 'puluwan', 'nisa']",YES
1640,1641,"['Meka', 'nohikmunu', 'tharuna', 'madaya', 'meunta', 'wadihitiyanta', 'salakana', 'hati', 'thiya', 'wadagath', 'thanakata', 'wadagath', 'widiyata', 'ena', 'widiyath', 'amathaka', 'wela', 'mewa', 'demaupiyange', 'waradi']",YES
1641,1642,"['Mona', 'ponna', 'කලාකරුවන්', 'da', 'mun', 'ammata', 'hukawanna', 'thiyena', 'aruta', 'kariya']",YES
1642,1643,"['Gothrikayonta', 'therenne', 'na', 'wahal', 'manasikathwayen', 'midenna', 'amarui', 'Midunu', 'daata', 'ape', 'rata', 'diyunuy', 'Aakalpa', 'walin', 'Jaya', 'wewa']",YES
1643,1644,"['Meketh', 'innawa', 'desapaluwonge', 'puka', 'hodana', 'un', 'unta', 'jarawa', 'modda', 'kiyala', 'aduraganna', 'ba', 'ekai', 'unta', 'desapaluwo', 'gana', 'kakkumen', 'dagalanne']",YES
1644,1645,"['Niyamai', 'karapu', 'wade', 'wasiyata', 'desapaluwonge', 'pukath', 'hodana', 'un', 'inna', 'rataka', 'mewage', 'kollo', 'niyama', 'padamak', 'kiyala', 'denawa', 'desapaluwonta', 'dusithayo', 'atthatama', 'desa', 'paluwo', 'harima', 'appriyai', 'unwa', 'ganan', 'noganna', 'taramata', 'jarewen', 'un', 'wahila', 'iwarai']",YES
1656,1657,"['මේ', 'බල්ලෝ', 'හිතාගෙන', 'ඉන්නේ', 'මුන්ගේ', 'දේපල', 'කියලා', 'කාලකන්නි', 'ඇත්තේ', '8', 'fail', 'බල්ලෝ', 'කසිප්පු', 'කාරයෝ', 'කුඩුකාරයෝ', 'හිඟන', 'බල්ලෝ', 'තෝ', 'මේ', 'කරන්නෙ', 'පොදු', 'දේපල', 'වලට', 'හාණි']",YES
1657,1658,"['Munge', 'ගෙවල්', 'වලින්', 'අරන්', 'awa', 'wage', 'kadanne', 'mona', 'jara', 'minissuda']",YES
1660,1661,"['තෝපිලගේ', 'ඇට', 'ටික', 'වික්කත්', 'හරි', 'මිලියන', '20', 'ගන්න', 'බෑ', 'පාර්ලිමේන්තුවේ', 'දවස', 'වියදමට']",YES
1665,1666,"['Podi', 'minihek', 'jeewathwenna', 'gahakin', 'gediyak', 'kadan', 'kewath', 'hire', 'dana', 'me', 'wage', 'kalakanni', 'podu', 'depala', 'winasa', 'karanakota', 'balan', 'inna', 'pake', 'niwata', 'asikkitha', 'ratak', 'lankawa', 'thu', 'nodakin']",YES
1666,1667,"['Munta', 'anik', 'ratawal', 'wala', 'wage', 'elawa', 'elawa', 'gahanna', 'thiwnanam', 'owa', 'oma', 'wenne', 'na', 'eth', 'ape', 'rate', 'wahal', 'manasikathwaya', 'thiyana', 'un', 'ekka', 'eka', 'kawadawath', 'wenne', 'na', 'bayiyanta', 'penne', 'unp', 'unge', 'weradi', 'witharayi', 'toyiyanta', 'penne', 'bayiyange', 'weradi', 'witarayi', 'jvp', 'unta', 'penne', 'unp', 'jvp', 'unge', 'weradi', 'witarayi', 'Rate', 'karumeta', 'paksha', 'paksha', 'badagena', 'nathi', 'swadeena', 'matha', 'daaariyo', 'harima', 'wiralayi']",YES
1668,1669,"['Awajathaka', 'heththa', 'munta', 'chande', 'dena', 'apitama', 'thama', 'gaha', 'ganna', 'oni']",YES
1669,1670,"['2015', 'පැරදිලා', 'ගෙදර', 'ගිය', 'දවසෙ', 'ඇයි', 'සර්', 'ගහල', 'හරි', 'ගත්තෙ', 'නැත්තෙ', 'කියල', 'අහපු', 'නූගත්', 'මිනිස්සුන්ට', 'ඔහු', 'හා', 'ඔහුගේ', 'කසිප්පුකාර', 'එතනෝල්කාර', 'රැල', 'වීරයින්', 'වෙන්න', 'පුඵළුන්', 'ඒත්', 'මේ', 'රටේ', 'ශිෂ්ට', 'සම්පන්න', 'මිනිසුනට', 'තව', 'දුරටත්', 'ඔහු', 'වීරයෙක්', 'නෙමේ', 'ගුඩ්', 'බායි', 'මහින්ද']",YES
1670,1671,"['අප්පච්චිගෙ', 'කටු', 'කන', 'බල්ලෙක්', 'වූ', 'Aprasanna', 'Ranaweera', 'පාර්ලිමේන්තුවෙන්', 'වහා', 'පන්නා', 'දැමිය', 'යුතු', 'මේ', 'මොංගල්', 'අප්', 'රසන්න', 'රණවීර', 'අර', 'අහක', 'ඉන්න', 'නිරායුධ', 'පොලිසියට', 'කනේ', 'පාරකුත්', 'ගහලා', 'මදිවට', 'මිරිස්', 'කුඩුත්', 'ගහනවා', 'පකයා', 'මුන්ට', 'ආයෙ', 'බලය', 'ගියොත්', 'කොහොමද']",YES
1671,1672,"['Okata', 'gihin', 'gahala', 'wadak', 'na', 'Okata', 'okunwa', 'yawwe', 'apima', 'thama', 'Ithin', 'okun', 'wage', 'unge', 'boru', 'katha', 'walata', 'rawatila', 'chande', 'dunna', 'minissuntamai', 'gahanna', 'one']",YES
1679,1680,"['Mona', 'pakaya', 'hada', 'kauwada', 'danne', 'Na', 'ath', 'me', 'rata', 'nidahas', 'kara', 'gaththa', 'me', 'wage', 'minihek', 'gen', 'athal', 'ganna', 'apa']",YES
1681,1682,"['බොම්බයක්', 'ගසා', 'මේ', '225', 'මරා', 'දමන්න', 'ඉදිපත්', 'වෙන', 'කෙනා', 'ලංකාවේ', 'ජාතික', 'වීරයන්ගේ', 'නම්', 'ලැයිස්තුවේ', 'උඩින්ම', 'ඉන්න', 'ඔනී']",YES
1687,1688,"['අපේ', 'සල්ලි', 'නාස්ති', 'කරන්නේ', 'මේ', 'පර', 'බල්ලෝ', 'ලක්ෂ', '45', 'ක්', 'විතර', 'යනවා', 'එක', 'වාරෙකට', 'රැස්', 'වෙන්න']",YES
1691,1692,"['ඔක්කොම', 'aka', 'පාරටම', 'meranna', 'විදියක්', 'thibunan', 'nam', 'keeyak', 'ගියත්', 'kemakna', 'gawall', 'idam', 'උගස්', 'තියල', 'හරි', 'lankawa', 'මිනිස්සු', 'selle', 'daei', 'aatharam', 'ආදරෙයි', 'munta', 'කාලකණ්ණි']",YES
1692,1693,"['munta', 'puluvanda', 'rata', 'hadanna', 'gahanna', 'oni', 'bombayak', 'ivarayak', 'venna']",YES
1693,1694,"['mun', 'tika', 'raten', 'pita', 'kalanam', 'ape', 'rata', 'awrudu', '5kin', 'amarikawath', 'salli', 'walata', 'gannawa', 'yku']",YES
1694,1695,"['Api', 'udara', 'rataka', 'sheshta', 'ithihasayak', 'athi', 'namuth', 'dan', 'harak', 'ralakin', 'palanaya', 'wana', 'kala', 'kanni', 'jathiyak', 'wemu', 'nathida', 'mekata', 'wisadumak', 'ek', 'wanta', 'apita', 'singha', 'la', 'rataka', 'Buddagama', 'rakena', 'eth', 'anith', 'jathin', 'raka', 'gena', 'sri', 'lankan', 'tamil', 'sri', 'lankan', 'muslim', 'wela', 'loketa', 'shakthimath', 'jathiyak', 'lesain', 'naya', 'nathi', 'heta', 'ipadena', 'Daruwan', 'wenuwen', 'wath', 'Enna', 'nagitinna', 'sihalune', 'pera', 'lesin', 'elawamu', 'munwa', 'rathu', 'kola', 'nil', 'paseka', 'la', 'raka', 'gamu', 'mau', 'bima']",YES
1695,1696,"['Rata', 'vinasa', 'krna', 'nuugathun', 'piri', 'center', '1k', 'lesy', 'pitarata', 'aya', 'dan', 'hithanne', 'meyala', 'hodha', 'balu', 'natum', 'natala', 'pennuvane', 'neda']",YES
1697,1698,"['මේ', 'මීහරක්', '225ම', 'ඇතුලේ', 'ඉද්දි', 'plan', 'කරලා', 'බෝම්බයක්', 'ගහන්න', 'එකෙක්', 'නෑ', 'නේ', 'අම්මාපා']",YES
1698,1699,"['Munta', 'laksa', 'ganan', 'ape', 'mudal', 'walin', 'kala', 'bila', 'thela', 'hadila', 'balayata', 'thanhawe', 'ekata', 'eka', 'mara', 'ganna', 'hadanawa', 'okun', 'ratata', 'gathiyata', 'adareta', 'nowei', 'mara', 'ganna', 'hadanne', 'unge', 'madiya', 'thara', 'kara', 'ganna', 'meka', 'ape', 'minissu', 'hithanne', 'nane', 'chandayath', 'thiwoth', 'mun', 'othanata', 'nowei', 'yawanna', 'ona', 'gedaramai', 'meeharak', 'hathta']",YES
1699,1700,"['Ai', 'rata', 'wenas', 'Karanna', 'Bari', 'NAGAHA', 'NANDA', 'WAGE', 'HONDA', 'UGATHEKUATA', 'KELIN', 'SADARAMWA', 'KATHA', 'KARANA', 'KENEK', 'TA', 'thamange', 'manape', 'Dena', 'eka', 'watinawa', 'neda', 'Me', 'wage', 'horunta', 'denawata', 'wada']",YES
1700,1701,"['Eithin', 'yako', 'munwa', 'FCID', 'ekata', 'arrested', 'karala', 'munwa', 'supreme', 'Court', 'dala', 'justice', 'eka', 'procedure', 'karanawako', 'horunta', 'Sapa', 'gana', 'ratawala', 'maliga', 'gahana', 'API', 'unta', 'taxes', 'gewana', 'ona', 'kalakani', 'kambi', 'horu', 'munta', 'kisima', 'ledak', 'wath', 'hadila', 'hell', 'Yana', 'ne', 'ne', 'gin', 'karma', 'gewana', 'shit']",YES
1702,1703,"['Bin', 'laden', 'hitiyanam', 'ammapa', 'contrac', 'eka', 'denna', 'tibuna', 'depathtenma', 'gahanna', 'bomb', 'purawapu', 'plane', 'dekak', 'in', 'parlimentuwata', 'mun', 'tika', 'mara', 'la', 'danna']",YES
1704,1705,"['Mama', 'hithuveth', 'hamadenama', 'katha', 'venneth', 'munta', 'bombayak', 'gahala', 'aluth', 'kandayamak', 'thiraganna', 'ona', 'kiyana', 'eka', 'thamai']",YES
1705,1706,"['Kalakanni', 'ballone', 'thopita', 'rata', 'hadanna', 'oninam', 'mokatada', 'pil', 'bedili', 'ekathuwela', 'hadapiyauko', 'para', 'ballo']",YES
1706,1707,"['Pau', 'kara', 'kalakannima', 'hetikaraya', 'pallma', 'pall', 'hora', 'awastawadi', 'musalayo']",YES
1716,1717,"['ප්', 'රසිද්දියට', 'හරි', 'මාර්කටින්', 'වලට', 'හරි', 'උඹලා', 'යකො', 'උඹලගේ', 'එකාගෙම', 'ගු', 'ගානවනේ', 'උඹලට', 'කරන්න', 'තිබ්බේ', 'මෙහෙම', 'පියුමි', 'හන්සමාලි', 'ඇතුලු', 'තවත්', 'Set', 'එකක්', 'හසිනිට', 'සහ', 'විශ්වට', 'පහු', 'ගිය', 'දවස්', 'ටිකේ', 'බැනවැද', 'රෙද්දක්', 'ඇදන්', 'Wedding', 'එකට', 'ගිය', 'හැටි', 'මෙන්න', 'කියලා', 'වගේ', 'video', 'එකක්']",YES
1717,1718,"['Me', 'හිටපු', 'aya', 'ලිංගික', 'මානසික', 'ආතතියෙන්', 'පෙළෙන', 'ආය', 'කියලා', 'හිතන්නේ', 'mama', 'විතරද']",YES
1724,1725,"['Ammo', 'පපුව', 'පිච්චිලා', 'ගියා', 'හැමදාමත්', 'ඔයවගේ', 'සතුටින්', 'ඉන්න', 'ඕනී', 'බුදුසරණයි']",NO
1732,1733,"['225', 'ම', 'ඉන්න', 'වෙලාවක්', 'බලලා', 'ඇරලා', 'දාපන්', 'අයියේ']",YES
1733,1734,"['Wisuruwala', 'newei', 'ras', 'karala', 'pupurawanna', 'ona']",YES
1736,1737,"['යකෝ', 'මූ', 'දුවනකොට', 'කකුලක්', 'දාපිය', 'වැටෙන්න', 'ගොබ්බයො', 'වගේ', 'පන්නනව', 'මොකො', 'red', 'card', 'දෙනවයෑ']",YES
1739,1740,"['Mu', 'රගර්', 'gahapu', 'ekekda', 'kohedooo', 'kohomada', 'line', 'eke', 'jump', 'eka']",NO
1743,1744,"['රනිල්ට', 'කඩේ', 'ගිය', 'උබ', 'වෙනුවෙන්', 'විනාඩි', '275']",YES
1745,1746,"['මිට', 'කලින්', 'දැකලා', 'නෑ', 'තමයි', 'මේ', 'වගේ', 'සමනල', 'Admin', 'කෙනෙක්']",YES
1755,1756,"['yako', 'tho', 'puka', 'dipan', 'aliyala', 'yuddayak', 'nethi', 'karapu', 'gena', 'hithapa', 'ekai', 'rate', 'minissu', 'nidahase', 'inne', 'gas', 'buruwa', 'tho']",YES
1758,1759,"['Ai', 'ban', 'unp', 'un', 'chandyakata', 'baya', 'kepuwat', 'kola', 'kiyana', 'harak', 'tama', 'unp', 'ekata', 'kade', 'yanne', 'mokda', 'meccara', 'ratata', 'kelawapu', 'raniltane', 'mun', 'kade', 'yanne', 'lajjai', 'bn']",YES
1759,1760,"['Ithin', 'ara', 'ranil', 'kiyana', 'lokuma', 'pissai', 'fb', 'eke', 'hitiya', '100', 'niweradi', 'leader', 'knk', 'balaporoththu', 'wechchi', 'pattama', 'gon', 'adminla', 'tikai', 'nisa', 'thama', 'me', 'Kalakanni', 'thopita', 'dn', 'wenasa', 'sepada', 'apida', 'sirawa', 'genawe', 'wesa', 'heththata', 'rate', 'thiyena', 'wena', 'kisima', 'prashnayak', 'lokuth', 'ne', 'mathakath', 'ne', 'ponna', 'unp', 'heththa']",YES
1762,1763,"['Mokaedda', 'mme', 'kala', 'kaniyek', 'ai', 'yako', 'eka', 'wisuruwama', 'baya', 'hitapalla', '5pennenna', 'danwath', 'ara', 'bahirawayata', 'arliyagahamaduren', 'yanna', 'kiyapalla']",YES
1763,1764,"['Mita', 'goda', 'kelakata', 'kalin', 'ada', 'me', 'una', 'de', 'NM', 'perera', 'mahaththya', 'deka', 'ahuwalu', 'pissek', 'Janadhipathi', 'unoth', 'mokada', 'karanne', 'kiyala', 'E', 'e', 'wiwasthawa', 'dekala']",YES
1765,1766,"['Pala', 'pala', 'muhudu', 'higanna', 'ubala', 'kade', 'yanne', 'ratakata', 'hodak', 'wena', 'dekata', 'neme', 'ubala', 'salli', 'maththema', 'merena', 'huththige', 'puthalaa']",YES
1766,1767,"['Salli', 'malu', 'delath', 'ganna', 'bari', 'una', 'bahuthare', 'pissu', 'pakayata', 'una', 'hadenawa', 'u', 'n', 'p', 'karayo', 'akathu', 'unama']",YES
1767,1768,"['Pissu', 'hedanawa', 'toge', 'pake', 'pag', 'eka', 'unp', 'ekaka', 'kiyala', 'dannawanam', 'oka', 'balannewat', 'ne', 'den', 'fb', 'eka', 'adan', 'netuwa', 'ammage', 'thurulata', 'wela', 'adapan', 'samanalayooo']",YES
1768,1769,"['Jonstan', 'wimal', 'mahindananda', 'dilan', 'SB', 'raajitha', 'mangala', 'rishad', 'ranil', 'mun', 'wage', 'eun', 'kohomat', 'pannanna', 'one']",YES
1769,1770,"['pissek', 'nikamma', 'janadipathi', 'une', 'ne', 'me', 'rate', 'ithama', 'buddimath', 'desapalathnayo', 'set', 'ekak', 'ekathuwela', 'me', 'pissa', 'pudu', 'apekshakaya', 'kale', 'mataka', 'nedda', 'ita', 'passe', 'thamai', 'me', 'rate', '62k', 'sayaka', 'buddimath', 'janathawa', 'pissata', 'chande', 'dunne', 'amathaka', 'karanna', 'epa', 'amathaka', 'kaloth', 'oyala', 'okkotoma', 'pissu', 'kiyala', 'hithai']",YES
1770,1771,"['ඕනම', 'Dialog', 'Phone', 'එකකින්', 'දැන්', 'බලන්න', 'පුලුවන්', 'Data', 'වලට', 'සල්ලි', 'වියදම්', 'කරන්නේ', 'නැතිව', 'පැය', '24ම', 'MyTv', 'ඔස්සේ']",NO
1771,1772,"['munva', 'melokayata', 'jataka', 'karpu', 'demaupiyange', 'veradda', 'putha']",YES
1773,1774,"['යාලුවනේ', 'මගේ', 'youtube', 'channel', 'එක', 'subcribe', 'කරන්න']",NO
